Reference Number ,subtitle,question,answer,optionA,optionB,optionC,photo_url
1001,,"You are operating a 1,280 (2.8lbs) quadcopter for your own enjotment. What FAA regulation is this sUAS operation subject to?",B,14 CFR Part 107. ,14 CFR Part 48,This operation is not subject to FAA regualtion.,
1002,,You have accepted football ticks in exchange for using your sUAS to videotape a future construction zone. What FAA regulation is this sUAS operation subject to?,A,14 CFR Part 107,14 CFR part 101. ,This operation is not subject to FAA regualtion.,
1024,,Which of the following crewmembers must be used during Part 107 SUAS operations?,A,Remote PIC. ,"Remote PIC, and visual observer. ","Remote PIC, visual observer, and person manipulating the controls.",
1025,,An autonomous operation requires the following crewmembers.,,,,,
1003,,You plan to operate a 33 lb sUAS to capture for your own enjoyment. What FAA regulation is this aerial imagery over real estate for use in sales listings. SUAS operation subject to?,A,14 CFR Part 107.,,,
1004,,"According to 14 CFR Part 107, an SUAS is an unmanned aircraft system weighing A-less than 55 lbs. B-55 kg or less. C-55 lbs or less.",A,less than 55 lbs. ,55 kg or less,55 lbs or less.,
1011,,"When an ATC clearance has been obtained, no remote PIC may deviate from that clearance, unless that pilot obtains an amended clearance. The one exception to this regulation is A-when the clearance states ""at pilot's discretion."" B-an emergency. C-if the clearance contains a restriction.",B,"when the clearance states ""at pilot's discretion.""",an emergency.,if the clearance contain a restriction. ,
1013,,"After receiving a Part 107 remote pilot certificate with a UAS rating, how often must you satisfy recurrent training requirements?",C,Every 6 months.,Every 12 months.,Every 24 months.,
1014,,"To satisfy medical requirements, all SUAS crew members must ",B,hold a valid third-class medical certificate.,be free of any physical or mental condition that would interfere with the safe operation of the would interfere with the safe operation of the small unmanned aircraft system.,complete a physical with an Aviation Medical Examiner.,
4016,,Who is responsible for ensuring that there are enough crewmembers for a given SUAS operation?,A,Remote pilot in command.,Person manipulating the controls.,Visual observer,
1019,,"When using a small unmanned aircraft in a commercial operation, who is responsible for briefing the participants about emergency procedures?",C,The lead visual observer. ,The FAA inspector-in-charge.,The remote pilot in command.,
1017,,Who is ultimately responsible for preventing a hazardous situation before an accident occurs? ,A,Remote pilot in command.,Person manipulating the controls.,Visual observer.,
1020,,The remote PIC may operate how many SUAS at a time?,A,1,5,No more than 2.,
1021,,Which crewmember is required to be under the direct supervision of the remote PIC when operating an SUAS?,B,Remote pilot in command.,Person manipulating the controls.,Visual observer.,
1022,,A person without a Part 107 Remote Pilot certificate may operate an SUAS for commercial operations A-under the direct supervision of a remote PIC. B-only when visual observers participate in the,A,under the direct supervision of a remote PIC.,only when visual observers participate in the operation. ,"alone, if operating during daylight hours.",
1023,,Whose sole task during an SUAS operation is to watch the SUAS and report potential hazards to the rest of the crew? ,C,Remote pilot in command.,Person manipulating the controls.,Visual observer.,
